225
0.000000,0.857493,0.514496;2342.764594,4856.511434,1605.965435;57
0.857493,0.514496,0.000000;2656.472333,5152.822077,1375.846225;59
0.912871,0.365148,0.182574;3640.973791,2656.736725,1538.005594;97
0.784465,0.588348,0.196116;3520.917464,3718.124739,1161.166403;92
0.912871,0.365148,0.182574;3887.179101,2397.085231,1369.667955;93
1.000000,0.000000,0.000000;3598.606734,3239.280867,1242.189433;92
0.707107,0.000000,0.707107;3755.925964,1586.982093,1633.295866;78
0.000000,0.857493,0.514496;480.641854,171.290330,2496.250983;45
0.857493,0.000000,0.514496;2733.208630,4792.056622,1513.191291;113
0.000000,0.514496,0.857493;2233.692720,5072.168441,1600.071490;107
0.514496,0.857493,0.000000;3465.817332,4099.604161,1171.587704;106
0.989949,0.141421,0.000000;3979.428035,1940.483062,1293.813706;108
0.408248,0.816497,0.408248;3806.816842,3007.771640,1387.759103;116
0.857493,0.514496,0.000000;3849.834986,2854.783231,1392.956023;111
0.784465,0.588348,0.196116;2679.060046,5305.453852,1370.741300;107
0.000000,0.948683,0.316228;3299.657654,4102.195074,1202.323265;106
0.784465,0.196116,0.588348;3338.981289,3246.567112,1651.950174;54
0.707107,0.707107,0.000000;3036.544957,3593.847787,1655.994871;54
0.707107,0.707107,0.000000;3416.018744,4027.080411,1253.885636;106
0.000000,0.948683,0.316228;2791.231825,4033.209479,1674.930700;110
0.426401,0.639602,0.639602;2466.595737,3716.539534,1724.971550;55
0.000000,0.707107,0.707107;2369.905844,3456.815768,1885.670439;109
0.000000,0.000000,1.000000;3114.966802,1305.422812,1803.682558;104
1.000000,0.000000,0.000000;4032.603451,1547.227882,1177.629234;123
0.857493,0.000000,0.514496;3304.702170,2279.803002,1688.568453;94
0.514496,0.857493,0.000000;2639.013515,5415.311639,1323.726290;126
0.857493,0.514496,0.000000;3850.388653,2919.553091,1335.402971;125
0.000000,1.000000,0.000000;3371.754454,4181.476556,1100.520854;122
0.365148,0.912871,0.182574;3753.899719,3102.041190,1418.391913;125
0.316228,0.000000,0.948683;2677.187219,2573.856164,1867.000378;128
0.707107,0.707107,0.000000;3926.262337,2834.399739,1323.718155;116
0.000000,0.989949,0.141421;2644.645188,3764.746371,1742.313234;133
0.514496,0.857493,0.000000;3480.667186,4123.108358,1144.415597;122
0.989949,0.141421,0.000000;3997.719567,2401.666092,1221.913938;123
0.784465,0.196116,0.588348;3287.194947,3283.592923,1670.983357;128
0.316228,0.948683,0.000000;3410.401417,4145.068392,1146.829499;130
0.707107,0.707107,0.000000;3167.896357,3808.175207,1564.991038;129
0.912871,0.182574,0.365148;2868.281158,4704.849379,1483.180377;120
0.426401,0.639602,0.639602;2651.190697,5331.079360,1411.620812;137
1.000000,0.000000,0.000000;4060.694442,1556.004652,1074.459623;135
0.000000,0.989949,0.141421;3686.324157,3354.038233,1372.795199;124
0.912871,0.365148,0.182574;3972.733854,2850.103379,1178.435464;145
0.857493,0.514496,0.000000;2872.617095,4957.616185,1392.352761;149
0.000000,0.989949,0.141421;3626.269312,3285.911072,1430.933735;140
0.316228,0.000000,0.948683;2554.792826,2002.005666,1975.795696;100
0.141421,0.989949,0.000000;3337.797490,4186.272127,1078.476789;139
0.707107,0.707107,0.000000;2640.503895,5434.943360,1339.906756;137
0.000000,0.141421,0.989949;525.141477,-221.671604,2473.773451;100
0.408248,0.408248,0.816497;2545.278177,5104.369673,1531.881192;126
0.000000,0.316228,0.948683;3101.119401,2230.616333,1839.420622;134
0.857493,0.000000,0.514496;2790.533977,4517.173451,1542.575756;120
0.196116,0.588348,0.784465;536.591906,50.000870,2494.175659;42
0.000000,0.707107,0.707107;3396.227301,3090.773392,1561.240485;140
0.162221,0.973329,0.162221;2548.655663,5487.177215,1330.896393;158
0.784465,0.196116,0.588348;3869.230016,2564.890688,1435.885832;116
0.000000,0.857493,0.514496;2402.692317,5348.508362,1464.754528;137
1.000000,0.000000,0.000000;4043.632725,1489.479703,1037.105717;151
0.000000,1.000000,0.000000;3296.761919,4285.723204,1108.534565;139
